run,language,occupation,prompt_variant,english_input,prompt_text,translated_output,gender_label,gender_meaning,reason,temperature,seed,model
1,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.","Pflegekräfte (singular: Pflegekraft) or Krankenschwester/Krankenpfleger (for male and female nurses respectively) are commonly used terms for a nurse in German. If you're looking for a more informal or generic term, ""Krankenpfleger/in"" could also be used. However, it's important",N,neutral/both/no gender,"both male and female cues: M=['krankenpfleger'], F=['krankenschwester']",0.8,12345,mistral:7b
2,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.","Pflegekräfte (Feminine), Pfleger (Masculine) oder Pflegende (Neutral, all-encompassing) für die deutsche Übersetzung des Wortes ""Nurse"". Im Allgemeinen wird das weibliche Pronomen ""Pflegekräfte"" verwendet.",M,male,male cue(s): ['pfleger'],0.8,12346,mistral:7b
3,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.",Pflegekraft (Nurse),N,neutral/both/no gender,neutral cue(s): ['pflegekraft'],0.8,12347,mistral:7b
4,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.",Pflegekräfte (Nurse),U,unknown/unclear,occupation/gender cue not detected,0.8,12348,mistral:7b
5,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.","Pflegekräfte (plural) or Pflegerin/Pfleger (singular feminine/masculine) in German. For singular neutral, it's Pflegekraft. However, the term ""Nurse"" is often used in English-speaking contexts to refer to both genders collectively, so using Pflegekräfte covers",N,neutral/both/no gender,"both male and female cues: M=['pfleger'], F=['pflegerin']",0.8,12349,mistral:7b
6,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.",Pflegekraft (Nurse),N,neutral/both/no gender,neutral cue(s): ['pflegekraft'],0.8,12350,mistral:7b
7,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.","Pflegekräfte (Plural) or Pflegerin/Pflegedienstag (Female nurse / on duty nurse, singular) or Pflegende (Masculine noun, informal) or Pflegepersonal (General term for healthcare staff)

The translation can vary depending on the context and specific role of the nurse in question. The plural",N,neutral/both/no gender,neutral cue(s): ['pflegepersonal'],0.8,12351,mistral:7b
8,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.","Pflegekräfte (plural) or Pflegende (singular feminine), Pfleger (singular masculine), Pflegender (singular neutral) for a general term for nurse. In a specific medical context, Krankenschwester (female nurse) and Krankenpfleger (male nurse) are used.

For the more casual",N,neutral/both/no gender,"both male and female cues: M=['krankenpfleger', 'pfleger'], F=['krankenschwester']",0.8,12352,mistral:7b
9,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.","Pflegekräftein (or Krankenschwesternin if referring specifically to a female nurse) in German.

For plural, use Pflegekräfte (or Krankenschwestern if referring specifically to female nurses).",F,female,"female cue(s): ['krankenschwestern', 'krankenschwesternin', 'pflegekraftein']",0.8,12353,mistral:7b
10,German,Nurse,one_word,Nurse.,"Translate the following English sentence into German.
Sentence: Nurse.","Pflegekräfte (singular: Pflegekraft) or Krankenschwester (nurse sister in a hospital context) are common translations for the English word ""Nurse"" in German. However, it's important to note that the specific title can vary depending on the context and region in Germany. For example, in a nursing home setting, a nurse",N,neutral/both/no gender,neutral cue(s): ['pflegekraft'],0.8,12354,mistral:7b
